Symbol,Security,GICS Sector,GICS Sub-Industry,Date Added,Date Removed
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2022-02-15,
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,1957-03-04,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1998-01-30,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1957-03-04,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,
NUE,Nucor,Materials,Steel,1985-04-30,
NVDA,Nvidia,Information Technology,Semiconductors,2001-11-30,
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019-09-26,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,2021-03-22,
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,2009-03-27,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1957-03-04,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2019-12-09,
OMC,Omnicom Group,Communication Services,Advertising,1997-12-31,
ON,ON Semiconductor,Information Technology,Semiconductors,2022-06-21,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,2010-03-15,
ORCL,Oracle Corporation,Information Technology,Application Software,1989-08-31,
OGN,Organon & Co.,Health Care,Pharmaceuticals,2021-06-03,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,2020-04-03,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,1980-12-31,
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2017-07-26,
PARA,Paramount Global,Communication Services,Movies & Entertainment,1994-09-30,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,1985-11-30,
PAYX,Paychex,Industrials,Human Resource & Employment Services,1998-10-01,
PAYC,Paycom,Information Technology,Application Software,2020-01-28,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,2015-07-20,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2012-10-01,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04,
PFE,Pfizer,Health Care,Pharmaceuticals,1957-03-04,
PCG,PG&E Corporation,Utilities,Multi-Utilities,2022-10-03,
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01,
PNW,Pinnacle West,Utilities,Multi-Utilities,1999-10-04,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24,
PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30,
POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07,
PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04,
PPL,PPL Corporation,Utilities,Electric Utilities,2001-10-01,
PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,1957-03-04,
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1997-08-04,
PLD,Prologis,Real Estate,Industrial REITs,2003-07-17,
PRU,Prudential Financial,Financials,Life & Health Insurance,2002-07-22,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,1957-03-04,
PTC,PTC,Information Technology,Application Software,2021-04-20,
PSA,Public Storage,Real Estate,Self-Storage REITs,2005-08-19,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,1984-04-30,
QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11,
PWR,Quanta Services,Industrials,Construction & Engineering,2009-07-01,
QCOM,Qualcomm,Information Technology,Semiconductors,1999-07-22,
DGX,Quest Diagnostics,Health Care,Health Care Services,2002-12-12,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02,
RJF,Raymond James,Financials,Investment Banking & Brokerage,2017-03-20,
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,1957-03-04,
O,Realty Income,Real Estate,Retail REITs,2015-04-07,
REG,Regency Centers,Real Estate,Retail REITs,2017-03-02,
REGN,Regeneron,Health Care,Biotechnology,2013-05-01,
RF,Regions Financial Corporation,Financials,Regional Banks,1998-08-28,
RSG,Republic Services,Industrials,Environmental & Facilities Services,2008-12-05,
RMD,ResMed,Health Care,Health Care Equipment,2017-07-26,
RVTY,Revvity,Health Care,Health Care Equipment,1985-05-31,
RHI,Robert Half,Industrials,Human Resource & Employment Services,2000-12-05,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,,
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2018-10-01,
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2009-12-23,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05,
SPGI,S&P Global,Financials,Financial Exchanges & Data,1957-03-04,
CRM,Salesforce,Information Technology,Application Software,2008-09-15,
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2017-09-01,
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1957-03-04,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02,
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,1957-03-04,
SRE,Sempra Energy,Utilities,Multi-Utilities,,
NOW,ServiceNow,Information Technology,Systems Software,2019-11-21,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30,
SPG,Simon Property Group,Real Estate,Retail REITs,2002-06-26,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12,
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,2008-11-06,
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,1982-09-30,
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,2021-12-20,
SO,Southern Company,Utilities,Electric Utilities,1957-03-04,
LUV,Southwest Airlines,Industrials,Passenger Airlines,1994-07-01,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,1982-09-30,
SBUX,Starbucks,Consumer Discretionary,Restaurants,2000-06-07,
STT,State Street Corporation,Financials,Asset Management & Custody Banks,2003-03-14,
STLD,Steel Dynamics,Materials,Steel,2022-12-22,
STE,Steris,Health Care,Health Care Equipment,2019-12-23,
SYK,Stryker Corporation,Health Care,Health Care Equipment,2000-12-12,
SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18,
SNPS,Synopsys,Information Technology,Application Software,2017-03-16,
SYY,Sysco,Consumer Staples,Food Distributors,1986-12-31,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19,
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2004-09-01,
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2022-10-12,
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,1976-12-31,
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2011-10-17,
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-06-22,
TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18,
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-09-21,
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2020-12-21,
TXN,Texas Instruments,Information Technology,Semiconductors,,
TXT,Textron,Industrials,Aerospace & Defense,1978-12-31,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2004-08-03,
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1985-09-30,
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,2014-01-24,
TT,Trane Technologies,Industrials,Building Products,2010-11-17,
TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03,
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2002-08-21,
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,2021-01-21,
TFC,Truist,Financials,Regional Banks,1997-12-04,
TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2005-08-10,
USB,U.S. Bank,Financials,Diversified Banks,,
UDR,"UDR, Inc.",Real Estate,Residential REITs,2016-03-07,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18,
UNP,Union Pacific Corporation,Industrials,Rail Transportation,1957-03-04,
UAL,United Airlines Holdings,Industrials,Passenger Airlines,2015-09-03,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22,
URI,United Rentals,Industrials,Trading Companies & Distributors,2014-09-20,
UNH,UnitedHealth Group,Health Care,Managed Health Care,1994-07-01,
UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2002-12-20,
VTR,Ventas,Real Estate,Health Care REITs,2009-03-04,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006-02-01,
VRSK,Verisk,Industrials,Research & Consulting Services,2015-10-08,
VZ,Verizon,Communication Services,Integrated Telecommunication Services,1983-11-30,
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2013-09-23,
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,
VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23,
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2022-06-08,
V,Visa Inc.,Financials,Transaction & Payment Processing Services,2009-12-21,
VMC,Vulcan Materials Company,Materials,Construction Materials,1999-06-30,
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2019-02-27,
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31,
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1982-08-31,
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,2022-04-11,
WM,Waste Management,Industrials,Environmental & Facilities Services,,
WAT,Waters Corporation,Health Care,Health Care Distributors,2002-01-02,
WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31,
WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30,
WELL,Welltower,Real Estate,Health Care REITs,2009-01-30,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,1957-03-04,
WY,Weyerhaeuser,Real Estate,Timber REITs,,
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31,
WTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05,
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1981-06-30,
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008-11-14,
XEL,Xcel Energy,Utilities,Multi-Utilities,1957-03-04,
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2011-11-01,
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997-10-06,
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23,
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07,
ZION,Zions Bancorporation,Financials,Regional Banks,2001-06-22,
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,
AA,Alcoa Inc,,,2003-05-09,2016-11-01
ABK,Ambac Financial,,,2000-12-05,2008-06-10
ABMD,Abiomed,,,2018-05-31,2022-12-22
ABS,Albertsons,,,2003-05-09,2006-06-02
ACAS,American Capital,,,2003-05-09,2009-03-03
ACE,Chubb,,,2003-05-09,2016-01-19
ADS,Alliance Data Systems,,,2013-12-23,2020-06-22
ADT,ADT,,,2012-10-01,2016-05-03
AET,Aetna,,,2003-05-09,2018-12-03
AGN,Allergan,,,2003-05-09,2020-05-12
AIV,Apartment Investment & Management,,,2003-05-09,2020-12-21
AKS,AK Steel,,,2008-07-01,2011-12-16
ALTR,Altera,,,2003-05-09,2015-12-29
ALXN,Alexion Pharmaceuticals,,,2012-05-21,2021-07-21
AMD,Advanced Micro Devices,,,2017-03-20,2013-09-20
AMG,Affiliated Managers Group,,,2014-07-01,2019-12-23
AN,AutoNation,,,2003-05-09,2017-08-08
ANDV,Andeavor,,,2003-05-09,2018-10-01
ANF,Abercrombie & Fitch,,,2003-05-09,2013-12-23
ANR,Alpha Natural Resources,,,2011-06-01,2012-10-02
APC,Anadarko Petroleum,,,2003-05-09,2019-08-09
APOL,Apollo Education Group,,,2003-05-09,2013-07-01
ARG,Airgas,,,2009-09-28,2016-05-23
ARNC,Arconic,,,2016-11-01,2020-04-01
ATI,Allegheny Technologies,,,2003-05-09,2015-07-02
AV,Avaya,,,2003-05-09,2007-10-26
AVP,Avon Products,,,2003-05-09,2015-03-23
AYE,Allegheny Energy,,,2000-12-05,2011-02-25
AYI,Acuity Brands,,,2016-05-03,2018-06-18
BBBY,Bed Bath & Beyond,,,2003-05-09,2017-07-26
BC,Brunswick,,,2003-05-09,2008-06-23
BCR,CR Bard,,,2003-05-09,2018-01-03
BEAM,Beam Inc,,,2003-05-09,2014-05-01
BHF,Brighthouse Financial,,,2017-08-08,2019-04-02
BIG,Big Lots,,,2003-05-09,2013-02-15
BJS,BJ Services,,,2003-05-09,2010-04-29
BMC,BMC Software,,,2003-05-09,2013-09-10
BMS,Bemis Company,,,2019-06-07,2019-06-11
BRCM,Broadcom Corporation,,,2003-05-09,2016-02-01
BTU,Peabody Energy,,,2003-05-09,2014-09-20
BXLT,Baxalta,,,2015-07-01,2016-06-03
CA,CA Technologies,,,2003-05-09,2018-11-06
CAM,Cameron International,,,2003-05-09,2016-04-04
CBE,Cooper Industries,,,2011-11-18,2012-12-03
CCE,Coca-Cola Enterprises,,,2003-05-09,2016-05-31
CEG,Constellation Energy Group,,,2022-02-02,2012-03-13
CELG,Celgene,,,2003-05-09,2019-11-21
CEPH,Cephalon,,,2003-05-09,2011-10-14
CERN,Cerner,,,2010-04-29,2022-06-08
CFC,Countrywide Financial Corp,,,2003-05-09,2008-07-01
CFN,Carefusion,,,2003-05-09,2015-03-18
CHK,Chesapeake Energy,,,2003-05-09,2018-03-19
CIEN,Ciena,,,2003-05-09,2009-12-18
CLF,Cliffs Natural Resources,,,2009-12-18,2014-04-02
CMCSK,Comcast K Corp,,,2015-09-18,2015-12-15
CNX,Consol Energy,,,2003-05-09,2016-03-04
COL,Rockwell Collins,,,2003-05-09,2018-12-03
COTY,Coty,,,2016-09-30,2020-09-21
COV,Covidien,,,2011-02-28,2015-01-27
CPGX,Columbia Pipeline Group,,,2015-07-02,2016-07-05
CPRI,Capri Holdings,,,2003-05-09,2020-05-12
CPWR,Compuware,,,1998-12-11,2011-12-31
CSC,Computer Sciences Corporation,,,2003-05-09,2015-12-01
CSRA,CSRA,,,2015-12-01,2018-04-04
CTX,Centex Corp.,,,2003-05-09,2009-08-19
CTXS,Citrix Systems,,,2003-05-09,2022-10-03
CVC,Cablevision Systems,,,2010-12-17,2016-06-22
CVG,Convergys,,,2000-06-12,2009-12-18
CVH,Coventry Health Care,,,2003-05-09,2013-05-08
CXO,Concho Resources,,,2016-02-22,2021-01-21
DD,DuPont,,,2019-06-03,2017-09-01
DELL,Dell,,,2003-05-09,2013-10-29
DF,Dean Foods,,,2003-05-09,2013-05-23
DJ,Dow Jones,,,2003-05-09,2007-12-13
DNB,Dun & Bradstreet,,,2003-05-09,2017-04-05
DNR,Denbury Resources,,,2003-05-09,2015-03-23
DO,Diamond Offshore Drilling,,,2003-05-09,2016-09-30
DOW,Dow Chemical Company,,,2019-04-02,2017-09-01
DPS,Dr Pepper Snapple Group,,,2003-05-09,2018-07-02
DRE,Duke Realty,,,2017-07-26,2022-10-03
DTV,DirecTV,,,2003-05-09,2015-07-29
DV,DeVry,,,2003-05-09,2012-10-01
DWDP,DowDuPont Inc.,,,2017-09-01,2019-06-03
DYN,Dynegy,,,2003-05-09,2009-12-18
EK,Eastman Kodak,,,2003-05-09,2010-12-17
EMC,EMC Corporation,,,2003-05-09,2016-09-08
ENDP,Endo International,,,2015-01-27,2017-03-02
EP,El Paso Corporation,,,2003-05-09,2012-05-17
EQT,EQT,,,2022-10-03,2018-11-13
ESRX,Express Scripts,,,2003-09-25,2018-12-24
ESV,Ensco,,,2012-07-31,2016-03-30
ETFC,E-Trade,,,2003-05-09,2020-10-07
EVHC,Envision Healthcare,,,2016-12-02,2018-10-11
FBHS,Fortune Brands Home & Security,,,2016-06-22,2022-12-19
FDC,First Data,,,2003-05-09,2007-09-26
FDO,Family Dollar,,,2003-05-09,2015-07-08
FHN,First Horizon,,,2003-05-09,2013-06-21
FII,Federated Investors,,,2003-05-09,2013-01-02
FL,Foot Locker,,,2016-04-04,2019-08-09
FLIR,FLIR Systems,,,2003-05-09,2021-05-14
FLR,Fluor Corporation,,,2003-05-09,2019-06-03
FLS,Flowserve,,,2003-05-09,2021-03-22
FNM,Fannie Mae,,,2003-05-09,2008-09-12
FOSL,Fossil Group,,,2012-04-03,2016-01-05
FRC,First Republic Bank,,,2019-01-02,2023-05-04
FRE,Freddie Mac,,,2003-05-09,2008-09-12
FRX,Forest Laboratories,,,2003-05-09,2014-07-01
FSLR,First Solar,,,2022-12-19,2017-03-20
FTI,TechnipFMC,,,2009-06-05,2021-02-12
FTR,Frontier Communications,,,2003-05-09,2017-03-20
GAS,Nicor Gas,,,2011-12-12,2016-07-01
GENZ,Genzyme,,,2003-05-09,2011-04-01
GGP,GGP,,,2013-12-10,2018-08-28
GHC,Graham Holdings,,,2003-05-09,2014-09-20
GLK,Great Lakes Chemical,,,2003-05-09,2005-07-01
GMCR,Keurig Green Mountain,,,2014-03-21,2016-03-07
GME,GameStop,,,2007-12-13,2016-04-25
GNW,Genworth Financial,,,2003-05-09,2015-11-18
GPS,Gap Inc.,,,2003-05-09,2022-02-03
GR,Goodrich Corporation,,,2003-05-09,2012-07-31
GT,The Goodyear Tire & Rubber Company,,,2003-05-09,2019-02-27
HAR,Harman International,,,2003-05-09,2017-03-16
HBI,Hanesbrands,,,2015-03-23,2021-12-20
HCBK,Hudson City Bancorp,,,2003-05-09,2015-11-02
HFC,HollyFrontier,,,2018-06-18,2021-06-04
HNZ,Heinz,,,2003-05-09,2013-06-06
HOG,Harley-Davidson,,,2003-05-09,2020-06-22
HOT,Starwood,,,2003-05-09,2016-09-22
HP,Helmerich & Payne,,,2010-02-26,2020-05-22
HRB,H&R Block,,,2003-05-09,2020-09-21
HSP,Hospira,,,2003-05-09,2015-09-02
IGT,International Game Technology,,,2003-05-09,2014-06-20
INFO,IHS Markit,,,2017-06-02,2022-03-02
IPGP,IPG Photonics,,,2018-03-07,2022-06-21
ITT,ITT,,,2003-05-09,2011-10-31
JBL,Jabil Circuit,,,2003-05-09,2014-11-05
JCP,JCPenney,,,2003-05-09,2013-12-02
JDSU,JDS Uniphase,,,2000-07-27,2013-12-23
JEF,Jefferies Financial Group,,,2003-05-09,2019-09-26
JNS,Janus Capital Group,,,2003-05-09,2011-11-18
JNY,Jones Apparel Group,,,2003-05-09,2009-03-03
JOY,Joy Global,,,2003-05-09,2015-10-07
JWN,Nordstrom,,,2003-05-09,2020-06-22
KBH,KB Home,,,2003-05-09,2009-12-18
KG,King Pharmaceuticals,,,2003-05-09,2010-12-17
KRFT,Kraft Foods,,,2012-10-02,2015-07-06
KSE,KeySpan,,,2003-05-09,2007-08-24
KSS,Kohl's,,,2003-05-09,2020-09-21
KSU,Kansas City Southern,,,2013-05-23,2021-12-14
LEG,Leggett & Platt,,,2003-05-09,2021-12-20
LEH,Lehman Brothers,,,2003-05-09,2008-09-16
LIFE,Life Technologies,,,2003-05-09,2014-01-24
LLL,L3 Technologies,,,2003-05-09,2019-07-01
LLTC,Linear Technology,,,2003-05-09,2017-03-13
LM,Legg Mason,,,2003-05-09,2016-12-02
LO,Lorillard Tobacco Company,,,2008-06-10,2015-06-11
LSI,LSI Corporation,,,2003-05-09,2014-05-08
LUMN,Lumen Technologies,,,2003-05-09,2023-03-20
LVLT,Level 3 Communications,,,2014-11-05,2017-10-13
LXK,Lexmark,,,2003-05-09,2012-10-01
M,Macy's,,,2003-05-09,2020-04-06
MAC,Macerich,,,2013-05-08,2019-12-23
MAT,Mattel,,,2003-05-09,2019-06-07
MBC,MasterBrand,,,2022-12-15,2022-12-19
MBI,MBIA,,,2003-05-09,2009-12-18
MEE,Massey Energy,,,2008-06-23,2011-06-01
MFE,McAfee,,,2003-05-09,2011-02-28
MHS,Medco Health Solutions,,,2003-05-09,2012-04-03
MI,Marshall & Ilsley,,,2003-05-09,2011-07-05
MIL,Millipore,,,2003-05-09,2010-07-14
MJN,Mead Johnson,,,2009-12-18,2017-06-19
MMI,Motorola Mobility,,,2003-05-09,2012-05-21
MNK,Mallinckrodt,,,2014-08-18,2017-07-26
MOLX,Molex,,,2003-05-09,2013-12-10
MON,Monsanto,,,2003-05-09,2018-06-07
MUR,Murphy Oil,,,2003-05-09,2017-07-26
MWW,Monster Worldwide,,,2003-05-09,2011-12-16
MXIM,Maxim Integrated Products,,,2018-12-03,2021-08-30
NAVI,Navient,,,2014-05-01,2018-06-05
NBL,Noble Energy,,,2003-05-09,2020-10-12
NBR,Nabors Industries,,,2003-05-09,2015-03-23
NCR,NCR Corporation,,,2003-05-09,2007-10-01
NE,Noble Corporation,,,2003-05-09,2015-07-20
NFX,Newfield Exploration,,,2010-12-17,2019-02-15
NKTR,Nektar Therapeutics,,,2018-03-19,2019-10-03
NLSN,Nielsen Holdings,,,2013-07-08,2022-10-12
NOV,Nov,,,2003-05-09,2021-09-20
NOVL,Novell,,,2003-05-09,2011-04-27
NSM,National Semiconductor,,,2003-05-09,2011-09-23
NVLS,Novellus Systems,,,2003-05-09,2012-06-05
NYT,The New York Times Company,,,2003-05-09,2010-12-17
NYX,NYSE Euronext,,,2003-05-09,2013-11-13
ODP,Office Depot,,,2003-05-09,2010-12-17
OI,Owens-Illinois,,,2008-12-31,2016-12-02
OMX,OfficeMax,,,2003-05-09,2008-06-23
PBCT,People's United Financial,,,2003-05-09,2022-04-04
PBI,Pitney Bowes,,,2003-05-09,2017-03-01
PCG,Pacific Gas & Electric Company,,,2022-10-03,2019-01-18
PCL,Plum Creek Timber,,,2003-05-09,2016-02-22
PCP,Precision Castparts Corporation,,,2003-05-09,2016-02-01
PCS,MetroPCS,,,2003-05-09,2013-04-30
PDCO,Patterson Companies,,,2003-05-09,2018-03-19
PENN,Penn Entertainment,,,2021-03-22,2022-09-19
PETM,PetSmart,,,2012-10-10,2015-03-12
PGN,Progress Energy,,,2003-05-09,2012-07-02
PLL,Pall Corporation,,,2003-05-09,2015-08-28
POM,Pepco Holdings,,,2003-05-09,2016-03-30
PRGO,Perrigo,,,2011-12-16,2021-09-20
PTV,Pactiv,,,2003-05-09,2010-11-17
PVH,PVH,,,2013-02-15,2022-09-19
Q,Qwest Communications,,,2017-08-29,2011-03-31
QEP,QEP Resources,,,2010-06-30,2015-07-01
QTRN,Quintiles Transnational,,,2003-05-09,2003-09-25
R,Ryder System,,,2003-05-09,2017-06-19
RAI,Reynolds American,,,2003-05-09,2017-07-26
RDC,Rowan Companies,,,2003-05-09,2014-08-18
RHT,Red Hat,,,2003-05-09,2019-07-15
RIG,Transocean,,,2013-10-29,2017-07-26
RRC,Range Resources,,,2007-12-20,2018-06-18
RRD,RR Donnelley,,,2003-05-09,2012-12-11
RSH,RadioShack,,,2003-05-09,2011-06-30
RTN,Raytheon Company,,,2003-05-09,2020-04-06
RX,IMS Health,,,2003-05-09,2010-02-26
S,Sprint Nextel,,,2003-05-09,2013-07-08
SAI,SAIC,,,2009-12-18,2013-09-20
SBL,Symbol Technologies,,,2000-12-05,2007-01-10
SBNY,Signature Bank,,,2021-12-20,2023-03-15
SCG,SCANA,,,2003-05-09,2019-01-02
SE,Spectra Energy,,,2003-05-09,2017-02-28
SGP,Schering-Plough,,,2003-05-09,2009-11-03
SHLD,Sears Holdings,,,2003-05-09,2012-09-05
SIAL,Sigma-Aldrich,,,2003-05-09,2015-11-19
SIG,Signet Jewelers,,,2015-07-29,2018-03-19
SII,Smith International,,,2003-05-09,2010-08-26
SIVB,SVB Financial Group,,,2018-03-19,2023-03-15
SLE,Sara Lee Corporation,,,2003-05-09,2012-06-29
SLG,SL Green Realty,,,2015-03-23,2021-03-22
SLM,SLM Corporation,,,2003-05-09,2014-05-01
SLR,Solectron,,,2003-05-09,2007-10-02
SNDK,SanDisk,,,2003-05-09,2016-05-13
SNI,Scripps Networks Interactive,,,2003-05-09,2018-03-07
SPLS,Staples,,,2003-05-09,2017-09-18
SRCL,Stericycle,,,2003-05-09,2018-12-03
STI,SunTrust Banks,,,2003-05-09,2019-12-09
STJ,St Jude Medical,,,2003-05-09,2017-01-05
STR,Questar,,,2003-05-09,2010-06-30
SUN,Sunoco,,,2003-05-09,2012-10-10
SVU,Supervalu,,,2003-05-09,2012-04-23
SWN,Southwestern Energy,,,2003-05-09,2017-04-04
SWY,Safeway,,,2003-05-09,2015-01-27
T,AT&T Corporation,,,2003-05-09,2005-11-18
TDC,Teradata,,,2007-10-01,2017-06-19
TE,TECO Energy,,,2003-05-09,2016-07-01
TEG,Integrys Energy Group,,,2003-05-09,2015-07-01
TER,Teradyne,,,2020-09-21,2013-12-23
TGNA,Tegna,,,2003-05-09,2017-06-02
THC,Tenet Healthcare,,,2003-05-09,2016-04-18
TIE,Titanium Metals,,,2003-05-09,2012-12-21
TIF,Tiffany & Co,,,2003-05-09,2021-01-07
TLAB,Tellabs,,,2003-05-09,2011-12-20
TRB,Tribune Media,,,2003-05-09,2007-12-20
TRIP,TripAdvisor,,,2011-12-20,2019-12-23
TSG,Sabre Corporation,,,2003-05-09,2007-03-30
TSS,TSYS,,,2003-05-09,2019-09-23
TWC,Time Warner Cable,,,2003-05-09,2016-05-18
TWTR,Twitter,,,2018-06-07,2022-11-01
TWX,Time Warner,,,2003-05-09,2018-06-20
TYC,Tyco International,,,2010-08-26,2016-09-06
UA,Under Armour,,,2016-04-08,2022-06-21
UAA,Under Armour,,,2003-05-09,2022-06-21
UNM,Unum,,,2003-05-09,2021-09-20
URBN,Urban Outfitters,,,2003-05-09,2017-03-20
VAR,Varian Medical Systems,,,2003-05-09,2021-04-20
VIAB,Viacom,,,2003-05-09,2019-12-05
VNO,Vornado Realty Trust,,,2003-05-09,2023-01-05
VNT,Vontier,,,2020-10-09,2021-03-22
WB,Wachovia Bank,,,2003-05-09,2008-12-31
WCG,WellCare,,,2018-09-14,2020-01-28
WFM,Whole Foods Market,,,2003-05-09,2017-08-29
WFR,MEMC Electronic Materials,,,2003-05-09,2011-12-16
WIN,Windstream Communications,,,2003-05-09,2015-04-07
WPX,WPX Energy,,,2011-12-31,2014-03-21
WU,Western Union,,,2003-05-09,2021-12-20
WYN,Wyndham Worldwide,,,2003-05-09,2018-05-31
X,United States Steel,,,2003-05-09,2014-07-02
XEC,Cimarex Energy,,,2014-06-20,2020-03-02
XL,XL Group,,,2003-05-09,2018-09-14
XLNX,Xilinx,,,2003-05-09,2022-02-15
XRX,Xerox,,,2003-05-09,2021-03-22
XTO,XTO Energy,,,2003-05-09,2010-06-28
YHOO,Yahoo!,,,1999-12-07,2017-06-19
